ID_LAUDO;Ano;Mes;Sistema;Subsistema;Descricao;Tipo_Falha;Gravidade;Urgencia;Tendencia;GUT;Prioridade;Responsavel;Local;Local_Publico;Detalhe_Unidade;Status_Correcao;Data_Conclusao
002/2024;2024;01;Civil;Playground;Fixações de brinquedos sem acabamento de proteção;Segurança;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
003/2024;2024;01;Incêndio;Iluminação de emergência;Luminárias inoperantes;Manutenção;5;5;4;100;1;Condomínio;Área comum;Área comum;;Aberto;
003/2024;2024;01;Incêndio;Iluminação de emergência;Circuito sem identificação no quadro elétrico;Projeto;4;4;2;32;2;Condomínio;Área comum;Área comum;;Aberto;
003/2024;2024;01;Incêndio;Iluminação de emergência;Circuito compartilhado com iluminação normal / sem exclusividade;Projeto;4;4;2;32;2;Condomínio;Área comum;Área comum;;Aberto;
003/2024;2024;01;Incêndio;Sinalização de emergência;Plaqueta de sinalização quebrada ou ausente;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
003/2024;2024;01;Incêndio;Porta corta-fogo;Falha de fechamento automático e/ou fechadura fora de norma;Manutenção;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
003/2024;2024;01;Elétrico;Shaft / infraestrutura;Fechadura do shaft / quadro com problema de integridade;Manutenção;;;;;3;Condomínio;Área comum;Área comum;;Aberto;
003/2024;2024;01;Telecom;Identificação de cabos;Falta de identificação de cabos / organização;Operacional;;;;;3;Condomínio;Área comum;Área comum;;Aberto;
004/2024;2024;02;Civil;Fachada / área técnica;Falha de rejuntamento em área técnica do 3º pavimento;Degradação;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
006/2024;2024;03;Incêndio;Iluminação de emergência;Luminárias das salas CEB alimentadas por circuitos de unidades privativas;Projeto;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
006/2024;2024;03;Incêndio;Iluminação de emergência;Emendas de condutores realizadas na esteira de cabos;Execução;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
008/2024;2024;05;Civil;Piscina;Revestimentos cerâmicos de piso e parede com descolamento / risco de queda;Degradação;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
008/2024;2024;05;Civil;Piscina;Falha na integridade de guarda-corpos e corrimão;Segurança;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
010/2024;2024;05;Hidráulico;Reservatório;Infiltração em reservatório com necessidade de novo teste de estanqueidade;Execução;;;;;2;Condomínio;Área comum;Área comum;Unidade 1801-B afetada;Aberto;
011/2024;2024;05;Civil;Playground;Corrosão na estrutura metálica do balanço;Segurança;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
011/2024;2024;05;Civil;Playground;Danos físicos / amassamento na estação com escorregador;Segurança;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
013/2024;2024;06;Gás;Sistema GLP;Não conformidades identificadas no checklist visual do sistema de gás;Segurança;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
015/2024;2024;07;Civil;Garagem;Revestimento do piso / poliuréia com falha de desempenho;Projeto;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
016/2024;2024;08;Incêndio;SPDA;Necessidade de inspeção / validação técnica do SPDA;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
016/2024;2024;08;Incêndio;Alarme de emergência;Necessidade de inspeção / validação do alarme de emergência;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
017/2024;2024;10;Elétrico;Suprimento;Instabilidade no suprimento elétrico impactando elevadores;Operacional;;;;;2;Condomínio;Geral;Área comum;;Aberto;
